file_name,size,dex_count,permissions,label
BenignB195D0B0486962CB1EC486AA959AE3BA26B1A05B0596E06C27BA842F2646602F.apk,587386,608016,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']",0
BenignC053A6CC3291E71A73A4232E25923081D64C0ACE9CD674239679098D5D2AE7B2.apk,2057081,3784836,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.VIBRATE', 'android.permission.USE_FULL_SCREEN_INTENT', 'android.permission.SCHEDULE_EXACT_ALARM', 'android.permission.FOREGROUND_SERVICE', 'com.google.android.c2dm.permission.RECEIVE']",0
Benign0F488FB14ADF7149F35ADC700451B5224EE5BA4677DB11E0050AAC9FEDC13E60.apk,1983542,4173296,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.google.android.gms.permission.AD_ID', 'android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.FOREGROUND_SERVICE']",0
BenignC3349B7AEA36E4D4F5F8ABEEE2E6124B3DBCE18A65AD2D318B307449EEFC9E3C.apk,1451849,2228880,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",0
Benign9416E60293103C1089E0F0497C23194F148AF2EB0CFB21A9276F849D1091823D.apk,1516208,2781604,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.INTERNET', 'android.permission.VIBRATE', 'android.permission.WAKE_LOCK', 'android.permission.FOREGROUND_SERVICE']",0
Benign9475A108EF0809BFE97292BB3B6DB856A31DF2CD3E1B99A5DE3BCD53A6E7C4F7.apk,699170,531628,"['android.permission.INTERNET', 'android.permission.CAMERA', 'android.permission.CAMERA2', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECORD_AUDIO']",0
Benign76120C7856B5C71C5A50AB2C65AC1C46A8BE40A7D1311681B39DB5026E0A9DB2.apk,396803,477688,['android.permission.ACCESS_FINE_LOCATION'],0
Benign6C651326BEDAEBB9B0759913B1C36A44C9EB210D09C434D59E3D2B99A3512DBF.apk,1414271,177584,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE']",0
BenignD5AB86FF8FEED7B0CC45685B0BD25867BEAB8284AE6D7CBF6324CDDA1E2B85DE.apk,98910,175876,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECORD_AUDIO', 'android.permission.MODIFY_AUDIO_SETTINGS']",0
Benign4312C84B5150CCA92836D02092EE4E5B5FAA2BE0CBC146F8D41211269F217405.apk,2051898,116096,[],0
Benign83B5F43614D637260A0801089CCDFB4CA750C8E8BE88878797323FE6FDA56A79.apk,618386,617992,"['android.permission.INTERNET', 'android.permission.INTERNET', 'android.permission.RECORD_AUDIO', 'android.permission.CAMERA', 'android.permission.MODIFY_AUDIO_SETTINGS']",0
BenignB9E3EA6EEB08B324383FFA594B70519B631C0662427DE1A7CFCFC0B03BD2282D.apk,1913857,3535168,[],0
BenignAEEC5B1A5DDB4304CD0D32FE9D127FB9DDE1B425643C365F3FF182311DC64E45.apk,2021994,1004480,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE']",0
Benign64FEF55EC5DBA7C421791D711B8BACD8CBA07720BC3EE25D2140FDAFB6734F5B.apk,1109404,474084,"['android.permission.INTERNET', 'android.permission.READ_EXTERNAL_STORAGE']",0
BenignEFA3DB57C103185A3E8D5F79AAE0FD7465255EBB48CDBFD66051C374613CF92E.apk,1311233,2416456,"['android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'com.google.android.gms.permission.AD_ID']",0
Benign90E1F1B594F4E897E7FD8859BD29D4CD0C12EB72D22A43D733A869E22729091D.apk,1565778,2816984,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.CAMERA', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE']",0
BenignE55B4FEC9DFA6D8ABD685CB272C332876AC8DDEDE12AF5CDD90A2635585D38F9.apk,1691000,684072,['android.permission.INTERNET'],0
Benign4E3E21D6E7FF5B613D181C9AACC698C8C801DEDBA6AB2B3E4A8DE50BB165D67C.apk,1772883,3592244,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED']",0
BenignC1F08D25AEE051C8CA5F64D8A3055BAEC5F1C4ABBBE6699CCAD48E95678CEEDB.apk,476707,30204,[],0
BenignC02097BC72D69A46E6964C2DBD8C15CABF7E84CFAB4A6F959809F2F4B61725CD.apk,1062183,2077332,"['android.permission.INTERNET', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'com.google.android.gms.permission.AD_ID']",0
Benign50AC0C99384F235C1ADF34B0766264D9210C3CA429966E03D733A74E5627F541.apk,1928858,3827752,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.CAMERA', 'android.permission.RECORD_AUDIO', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.gms.permission.AD_ID', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE']",0
Benign5FC7C5210714433763507A6E9F6669E12FC060C2168D5DEE8E48BFA4103CFA50.apk,441341,162908,['android.permission.INTERNET'],0
Benign5C754D077AE263E3C784EBD0CD70BDD7A72CCFD68AAB95E8789BE7C3CC6A3695.apk,1952780,3041512,"['android.permission.INTERNET', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE']",0
BenignC64E5FDFDD89677BAB1F04401AD37FFB7477BB3635119D0E7C78602AB91428D1.apk,587457,611144,"['android.permission.INTERNET', 'com.google.android.gms.permission.AD_ID']",0
Benign4A27A40EF01FD563B9D2A65FC7F4A55D420633A0CBAEEF01F901A109397055FD.apk,1618528,1944920,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",0
Benign5EE603DB867686CFB96278691E538F81BFA00E6E15EDE8A746DE08815857E83C.apk,1953848,2706460,"['android.permission.INTERNET', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.columnhack.edusponsor.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.WAKE_LOCK', 'android.permission.VIBRATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.sonymobile.home.permission.PROVIDER_INSERT_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'com.huawei.android.launcher.permission.CHANGE_BADGE', 'com.huawei.android.launcher.permission.READ_SETTINGS', 'com.huawei.android.launcher.permission.WRITE_SETTINGS', 'android.permission.READ_APP_BADGE', 'com.oppo.launcher.permission.READ_SETTINGS', 'com.oppo.launcher.permission.WRITE_SETTINGS', 'me.everything.badger.permission.BADGE_COUNT_READ', 'me.everything.badger.permission.BADGE_COUNT_WRITE', 'android.permission.FOREGROUND_SERVICE']",0
Benign76F3B282C2957B3D0F2E74A70C7DF9D8463C0B7B49B1EDE661BCEAA6A3D3CED6.apk,605002,701168,"['android.permission.VIBRATE', 'android.permission.READ_EXTERNAL_STORAGE']",0
Benign84AE10F68FA646B3C969B9F705FE6B5803C3B35F5B716AE6894C0829DF5DC9ED.apk,1994051,2769132,"['android.permission.CAMERA', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.VIBRATE', 'com.camineo.auzonDLFR.permission.USE_LOCAL_DATA']",0
BenignD02F4D8E2302C3E4B9A4B7ED0812D3D5C9DAB6A809A646C61DD01DF652934710.apk,1964742,1390144,[],0
BenignC59125E473AA7AA72A6C7887470C9B6DAE73871432600004AA9ABDE1C7663839.apk,1634125,2073800,[],0
Benign7B0912CAC5BB20407DD57E1948CFC3C92044C1F3BA0118C80F4CD155AC923351.apk,701748,401716,['android.permission.INTERNET'],0
BenignBA2D7AD0F328A5D2060D2E670DB6A221B407C7DF9D14A4C410D7B6D59BF9BB2F.apk,1760339,697920,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE']",0
BenignC3F9F55216EFBF1ABEB8F74EC89C96210F848229674FB5F5AF617D48E1523942.apk,1317444,1356240,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0
Benign25ECE74EC178B7DB0577737E0B0993F44F0E5CD24F473B8C23AADD01CB9C0274.apk,1633773,1919732,[],0
Benign916D97B3119B208119CE64406E89BEA1DF0B2F4CA480F92B36990CEFFBEFD179.apk,1837276,2837596,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK']",0
Benign9FE9814E78521F4E0D050A077EDF706D8528BD681AC1B203898985FA31EBB5A9.apk,1091774,454696,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE']",0
Benign2512C786DD813E0BC0D28BE74E46440A8D71E3C6E4C4A55351C6E6DAA615565E.apk,1637067,3192244,[],0
BenignFB6D70F09AC175D7463DD7EE99B9E08BE81619BB7C9C80B42EDD8E2B6778A42E.apk,1310299,2142772,"['android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.GET_ACCOUNTS', 'android.permission.USE_CREDENTIALS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.AUTHENTICATE_ACCOUNTS', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.CALL_PHONE', 'android.permission.READ_SYNC_SETTINGS', 'android.permission.WRITE_SYNC_SETTINGS']",0
Benign235CAE0E35E43D64F6DDBA22B009822C17194DC0D754CAF767473A791FEC843F.apk,295387,106676,[],0
Benign210724382276C4CCEFB2745305C76021A6F208EBD857D5784C1B3D244E42DE36.apk,310787,477716,['android.permission.ACCESS_FINE_LOCATION'],0
BenignF8FE0CA943C4CB6AA242F438FC5F14ABF49E1D7707B50DDF7F59B89F91BBB907.apk,2003792,2899140,"['android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.INTERNET', 'android.permission.BLUETOOTH_CONNECT', 'android.permission.BLUETOOTH_SCAN', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'com.google.android.gms.permission.AD_ID']",0
Benign936CF49D36306FDBBEE2350DEEF54DAD19E812E1D912031FB9EEF44F509F74EF.apk,989600,693500,['android.permission.INTERNET'],0
Benign9D8F58B6A87E21ECEBFD04EC6BE1CB116C4F4E5AB8735FE45B51A336A9831027.apk,1946432,113692,[],0
Benign0808D47DFA2C401CA4E653DE6747BFD125B04A6083930828607E6DC3FC24F670.apk,1623560,1241512,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.READ_PHONE_STATE']",0
Benign428E3D81E6426957EAC372CF43FC527BDA42DDBA663B83655DD1A3999DE67F19.apk,1962760,3098720,"['android.permission.INTERNET', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE']",0
BenignFF13370C2981E3D58BE880172AA8D2946C65ECABEBCCC362AE8DC8AE18DE633D.apk,1948896,2820536,"['android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK']",0
Benign68CD0EF1099E3E4BC04432510DA0CBE4B4A8A379E04B333EF44014EC76A71A84.apk,1770911,1427580,"['android.permission.INTERNET', 'android.permission.CAMERA', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']",0
Benign54E27BD95D07CBC932304CEEE3264A265CB42362F86FBEEBFD52DE67244C8CD7.apk,1842457,2872216,[],0
Benign24E33AF8AA76813EE8DF4D5642B03A9BCB89EAC077180B4C3185AF0574F817EE.apk,1442122,2339492,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'com.google.android.gms.permission.AD_ID']",0
Benign84F56BD4EF46B2AA2E0E78B70074AAB5815C1EB18E82D04F1FA3397DD9617CF8.apk,570198,880796,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE']",0
Benign7EC04A2921FEE0805C33254979E1DC82CB2A77378DDE84184A8D0293F48EDF59.apk,333107,73880,"['android.permission.INTERNET', 'android.permission.FOREGROUND_SERVICE']",0
Benign807227FF9611ECBC1BDF615BA631A1D03F987D1B52544F866F95972A7C2706BA.apk,360492,541460,"['android.permission.ACCESS_FINE_LOCATION', 'com.android.vending.BILLING']",0
BenignC28FB069544427DC95DB54D1FA18E2FB63125D2B8E6A76308FBF7DB4C43D4659.apk,1634061,1918756,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.WAKE_LOCK', 'android.permission.FOREGROUND_SERVICE', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.INTERNET']",0
BenignA7DE959A093AAF0C7C33D26B21DFBBFD6AF2D703AE715F750BE2254613E13623.apk,2015850,2344284,"['android.permission.INTERNET', 'android.permission.READ_CONTACTS', 'android.permission.WRITE_CONTACTS', 'android.permission.FOREGROUND_SERVICE', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.POST_NOTIFICATIONS', 'com.google.android.c2dm.permission.RECEIVE']",0
BenignAAA4EF52952253EB126E9D16EAC2E03E24CE7395EC5FCB797F04CCE7E03F2D6B.apk,1244532,1709028,"['com.android.vending.BILLING', 'android.permission.ACCESS_BACKGROUND_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.VIBRATE', 'android.permission.USE_FULL_SCREEN_INTENT', 'com.google.android.c2dm.permission.RECEIVE']",0
BenignDC19195376411860FFD335117BE30DE9DE05272279F0220BB85E3D490245CE5C.apk,1889231,1976920,[],0
BenignC97F442CC33EF3613B2D4F0768CBE04E51C9CF2E26E1F4B31DCBFAEBF854A314.apk,424273,292744,[],0
Benign496EE687FF29D553F0F14719D4773DD7CA38A9B09324CFC6AD23D0AA5685897E.apk,1620119,1685904,"['android.permission.INTERNET', 'android.permission.CAMERA', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.POST_NOTIFICATIONS', 'com.google.android.c2dm.permission.RECEIVE']",0
BenignA5735C8A98CCB67FE925C8F2DCD5A212B61D0A99258E2EF903945360F0021C15.apk,1714186,2176600,['android.permission.INTERNET'],0
Benign989BE6EF88F1C6E0E2FBEADEA0AD311DA902C8F6B2880CBBBFDD95D96510F6FC.apk,1728761,2755016,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.WRITE_SETTINGS', 'android.permission.RECORD_AUDIO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.CAMERA', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_COARSE_LOCATION', 'com.google.android.gms.permission.AD_ID', 'com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE']",0
